,parentTconst,primaryTitle,seasonNumber,year,numSeasons,startYear,averageRating,numVotes,avgVotes,intYear,yearVotes,propVotes
5461,tt0098749,"Beverly Hills, 90210",6.0,1995.5555555555557,10.0,1990.0,6.565625,3475,3851.9,1995,486741,0.7139320501046758
5614,tt0098837,Keeping Up Appearances,5.0,1995.0,5.0,1990.0,8.030000000000001,1680,1713.4,1995,486741,0.3451527609139152
5621,tt0098844,Law & Order,6.0,1995.2631578947369,20.0,1990.0,7.869565217391305,5658,4987.65,1995,486741,1.162425191220793
5653,tt0098878,Northern Exposure,6.0,1995.0,6.0,1990.0,7.465217391304349,2251,2571.8333333333335,1995,486741,0.4624636100102519
5715,tt0098929,Tiny Toon Adventures,3.0,1995.0,3.0,1990.0,7.510000000000001,1015,1781.6666666666667,1995,486741,0.2085297930521571
5739,tt0098948,Wings,6.0,1995.0,8.0,1990.0,7.9,2074,1884.75,1995,486741,0.42609930127110723
5784,tt0101050,Blossom,5.0,1995.0,5.0,1990.0,7.6090909090909085,757,1013.8,1995,486741,0.1555241904832344
5866,tt0101120,Home Improvement,5.0,1995.5714285714287,8.0,1991.0,7.465384615384616,4658,4786.0,1995,486741,0.9569771192482244
5975,tt0101205,Step by Step,5.0,1995.6666666666667,7.0,1991.0,6.770833333333333,1283,1301.142857142857,1995,486741,0.2635898763408055
6010,tt0103352,Are You Afraid of the Dark?,4.0,1995.0,7.0,1990.0,8.653846153846153,7858,8228.57142857143,1995,486741,1.614410949560444
6025,tt0103359,Batman: The Animated Series,4.0,1995.0,4.0,1992.0,7.720000000000001,5201,29800.0,1995,486741,1.068535422329329
6045,tt0103376,Bottom,3.0,1995.0,3.0,1991.0,8.450000000000001,1616,1827.6666666666667,1995,486741,0.3320040843076708
6079,tt0103405,"Dr. Quinn, Medicine Woman",3.0,1995.0,6.0,1993.0,8.06206896551724,2867,2506.3333333333335,1995,486741,0.5890196223453541
6113,tt0103442,Highlander,4.0,1995.6,6.0,1992.0,8.031818181818183,3166,3103.8333333333335,1995,486741,0.6504485958651521
6129,tt0103466,The Larry Sanders Show,4.0,1995.6,6.0,1992.0,8.070588235294117,1786,1866.8333333333333,1995,486741,0.3669302565430075
6143,tt0103484,Mad About You,2.0,1995.857142857143,8.0,1992.0,7.591666666666669,2347,1916.875,1995,486741,0.48218662491961845
6154,tt0103488,Martin,4.0,1995.75,5.0,1992.0,7.344444444444445,922,1112.6,1995,486741,0.18942312235870823
6159,tt0103491,Melrose Place,4.0,1995.5,7.0,1992.0,8.149999999999999,1977,2587.285714285714,1995,486741,0.4061708382897681
6303,tt0105935,Aladdin,3.0,1995.0,3.0,1994.0,7.45,397,1602.3333333333333,1995,486741,0.08156288457310973
